Price,MtrsToBeach,SqMtrs,Age,NumStores,DogParkInd,SchoolScores
1980000,11851.97472,105.75,65,51,0,81
1930500,3793.562588,148.5,34,30,0,77
3036000,191.8223448,204.75,3.865836128,0,0,84
2920500,10352.1134,212.25,3.655786838,48,1,86
965250,11270.47748,168.75,7,10,0,79
993300,17918.16053,181.5,12,49,0,77
3138300,15179.56193,243.75,6.691054751,34,1,82
1419000,15503.30334,138.75,24,10,1,80
2145000,234.9328393,161.25,2.618132993,0,0,87
953700,11509.90385,94.5,61,38,1,80
1666500,16682.78978,188.925,42,40,1,82
1811700,7896.920197,115.5,1,46,0,80
1402500,14790.60174,124.5,36,20,0,78
1048162.5,15785.61932,207.75,90,47,1,81
3217500,18424.73022,204,9.124157832,48,0,75
947100,9692.594842,168,10,35,0,84
673200,11941.01933,75,47,8,1,80
4389000,6539.673259,240,5.021863771,57,1,87
1072500,11915.0785,94.5,43,41,1,78
1884300,2444.206942,206.25,99,17,0,82
1188000,9044.747643,178.5,10,38,1,77
1151700,2742.238708,134.25,50,28,1,76
2747250,291.4775925,257.25,0.256578592,0,0,81
1254000,203.4198999,132,59,0,0,79
1584000,7879.535565,78,74,17,1,80
1353000,6062.165976,105.75,59,20,1,80
2376000,131.5107143,258.75,0.425857352,0,0,78
1287000,9447.724676,176.25,12,11,0,78
1188000,16982.91821,142.5,23,0,1,80
1174800,19190.59217,126,51,41,0,75
1039500,12300.32554,72,63,16,1,82
3102000,8626.028024,160.5,4.010450372,54,1,81
1006500,9860.775647,199.5,54,17,0,83
1521300,17937.39135,207.75,9,35,1,79
709500,8714.572056,120.75,36,12,1,81
1105500,16207.10274,77.25,9,0,1,81
803550,8609.146292,148.5,27,41,1,78
3630000,18536.90233,264,4.2564931,52,0,84
504900,19886.23039,90,53,0,1,83
1419000,4099.167568,118.5,76,11,0,82
2310000,2921.748426,118.5,9.682921795,30,0,85
2986500,196.0164207,247.5,3.048113785,0,0,82
816750,10924.80253,147,48,10,1,76
656700,10086.12502,87,40,0,0,78
1036200,17002.99932,135.75,35,16,1,76
1443750,8268.785544,174,23,42,1,79
2807739,10899.95566,155.25,8.487719761,11,1,78
1831500,6517.324333,148.5,86,40,1,80
2309835,19330.31836,164.25,5.272968635,24,0,77
3597000,3166.614487,219,9.298369142,31,0,80
957000,7590.002663,90.75,61,39,0,78
1237500,11256.9802,175.5,37,26,1,85
1518000,338.1355011,125.25,76,19,0,82
622050,12171.35453,93,30,34,0,83
2244000,406.8241023,235.5,9.885783966,15,0,81
1551000,261.448691,152.25,73,0,0,85
1972575,420.9462687,173.25,31,32,0,78
1881000,3883.725043,94.5,110,52,0,79
899250,18310.88785,115.5,35,32,0,84
1088835,9082.643664,156,44,47,0,78
1584000,16702.75259,242.25,14,18,0,79
2443650,247.131068,328.5,9.391658476,0,0,79
1711050,10521.00264,119.25,5,34,0,79
677902.5,9655.365091,66,70,27,0,79
566940,13551.59772,117.75,65,7,1,81
1765500,7308.399842,120.75,90,47,0,79
2178000,169.6024976,180,9.762917999,0,0,78
1303500,1917.419212,57.75,62,11,1,79
1468500,3310.950141,157.5,91,21,1,79
2541000,285.0002053,218.25,2.274676897,0,0,80
4785000,351.2750748,206.25,5.908231507,34,0,82
1468500,15285.48817,157.5,48,9,1,80
858000,19466.22302,162,37,17,1,80
2714250,11442.92014,174,2.55849977,36,1,78
1419000,1691.720139,155.25,11,10,0,79
699600,4043.737081,79.5,29,20,0,80
2179650,8315.181247,150.75,7.723883204,47,0,78
2587200,298.3291272,296.25,5.81570344,0,0,82
1495711.8,11836.59868,150.75,1,37,1,75
2227500,14039.96423,160.5,6.700671411,12,1,81
656700,8760.071789,99,59,43,1,75
726000,4999.846449,151.5,47,0,0,79
1491600,497.3421327,194.25,47,21,0,78
1262250,4566.761314,89.25,34,26,0,78
1715835,14500.05025,87.75,1,11,1,80
2194500,265.7943854,83.25,5.668582318,0,0,74
1741410,15944.52121,211.5,47,55,0,84
676500,3873.025789,120.75,53,14,0,75
1386000,8166.853479,79.5,92,10,1,79
1650000,19859.27869,152.25,54,59,0,77
3040950,105.7195757,275.25,5.03578458,0,0,78
2937000,199.5176782,191.25,9.88361743,0,0,86
1419000,2691.891404,181.5,8,21,1,80
851400,9051.000482,169.5,55,11,1,76
1756161,215.7487572,102,25,0,0,81
1848000,1963.55685,83.25,68,16,0,80
933735,5651.647532,93.75,61,0,0,79
7425000,260.7207869,388.5,8.432866035,0,0,77
1155000,17671.96999,52.5,73,41,0,76
709500,3272.869055,88.5,48,0,0,77
2145000,2318.907858,297,2.565045399,58,1,83
1056000,4800.452008,198,48,9,0,78
815100,10910.20302,95.25,99,43,0,76
1056000,9799.72109,132,47,0,0,86
841500,3862.826255,154.5,53,8,0,81
1445400,9389.392289,133.5,53,37,1,79
2970000,190.8528027,255,4.077657461,0,0,83
1455300,18948.7468,143.25,36,35,0,83
1386000,13819.2168,151.5,40,27,1,78
1221000,19895.96297,118.5,39,0,0,87
890835,6824.900024,100.5,66,9,0,79
2663430,107.3412143,201,8.32890525,0,0,76
2154900,228.8589592,201,6.951519996,0,0,80
1225950,13214.39413,102.75,51,34,0,81
937200,13250.97296,117,61,26,0,87
897600,4907.448418,162,37,20,1,80
1032900,3447.844613,100.5,60,0,1,81
3027750,4505.588214,291,2.611982988,41,0,80
2220900,350.7368552,194.25,9.431515629,21,0,79
1402500,1576.730927,84,7,12,0,80
1319835,8804.401993,147.75,29,25,1,82
1270500,13814.90211,91.5,114,17,0,86
890835,2478.745631,146.25,40,22,0,83
1089000,11550.78749,101.25,66,35,1,84
858000,17272.99498,125.25,27,0,1,76
1551000,191.1143177,178.5,90,0,0,83
1943700,13425.57545,183,54,34,1,81
2755500,3017.732436,234.75,8.845439998,35,1,82
887700,9784.82265,111.75,46,10,0,84
1848000,14962.29645,142.5,28,13,0,78
2029500,435.3867254,99.75,6.662873081,57,0,79
1006500,18556.34354,123.75,38,15,1,79
550935,12896.58043,89.25,56,35,1,81
2636700,15751.31217,160.5,0.569002633,40,0,78
1320000,8040.249299,163.5,53,47,1,82
759000,19797.64195,79.5,67,14,0,76
847713.9,15674.28484,126.75,12,17,0,77
1395900,13889.99939,147.75,95,0,0,84
1534500,6431.018943,161.25,8,20,0,77
1452000,5740.95414,143.25,18,12,1,81
1270500,9458.654267,101.25,46,19,0,79
693000,2038.899408,64.5,72,16,1,81
980100,17532.24952,145.5,21,20,1,85
1551000,10951.89908,75.75,63,50,0,85
747450,17795.88152,97.5,39,10,0,79
905025,1736.500321,68.25,53,11,1,73
2772000,201.3553343,186,4.367593813,0,0,87
2237070,279.277678,183,7.676400922,0,0,82
1402500,16651.44904,75.75,100,30,0,82
594825,15459.09614,67.5,74,24,0,80
1531200,15723.69235,172.5,95,45,0,82
1056000,3930.313521,116.25,22,10,0,80
2064163.2,277.6927195,95.25,0.528685537,0,0,81
1955250,16531.75881,168,32,54,0,79
1534500,356.0962202,203.55,10,32,0,76
1574100,357.7639734,129,37,51,0,83
924000,3950.630533,63.75,92,16,0,85
4983000,10087.38533,247.5,3.212661881,54,0,79
1471265.4,10755.64652,168.75,15,17,1,76
3531000,1189.176398,292.5,6.265777373,23,1,82
1541100,1685.916101,99,68,15,1,80
2263800,222.6895379,207,9.31055123,0,0,75
923835,19212.16058,131.25,54,31,1,80
1072500,5051.74521,166.5,49,27,1,79
1082400,8803.194703,151.5,21,42,1,77
1287000,14476.4955,93.75,73,7,0,85
1583835,10328.06751,113.25,10,20,0,79
874335,494.8274749,129,37,0,0,75
775500,11587.00368,107.25,54,26,1,81
1704450,400.4674168,111,11,19,0,81
2161500,100,108.75,9.317157131,0,0,77
1650000,208.3019674,171,55,0,0,71
1039500,8365.283469,220.5,37,38,0,78
702900,19504.15532,75,54,10,1,82
1567500,6732.515614,186,68,25,1,80
3399000,121.9688836,282,0.568081257,0,0,80
1372800,11469.42847,166.5,39,32,0,82
1353000,1414.649412,147.75,111,25,1,76
2640000,398.9719269,287.25,4.01728984,15,0,83
1557600,1750.040151,330.75,50,38,0,80
742500,6768.840051,107.25,47,24,1,82
693000,3302.332719,62.25,75,0,1,83
1501500,171.4814963,107.25,90,0,0,81
742500,8580.503306,97.5,61,48,1,77
1584000,269.5904033,77.25,97,0,0,83
1197900,3584.905096,205.5,25,21,0,74
597300,15089.94805,54,61,42,1,79
825000,6037.503677,150.75,39,0,1,80
1587300,480.2876681,117,97,54,0,83
858000,7691.10119,135.75,37,7,0,80
1369500,194.4122809,113.25,24,0,0,80
1153350,10006.97167,105,62,12,0,79
808500,10636.66452,129.75,28,45,1,82
1955250,3555.348878,106.5,87,25,1,83
1039500,15171.52858,118.5,41,33,0,82
841500,323.6307596,92.25,36,0,0,81
2286900,16831.29255,184.5,7.200532116,26,0,79
2574000,186.2812611,124.5,6.331175526,0,0,83
782100,4735.977014,95.25,55,15,1,79
1732500,269.824444,157.5,36,0,0,79
1402500,11087.41024,57.75,85,35,1,83
1220670,100,57,79,0,0,85
957000,11712.50394,127.5,27,26,1,81
940500,4918.662667,84,61,15,0,79
1369500,8725.439245,80.25,78,11,1,76
899250,1506.599411,155.25,36,8,1,79
9570000,460.1839793,378.75,5.625998753,47,0,77
4521000,13321.56641,398.25,6.455935633,44,1,79
1438800,17149.67047,78,76,35,1,81
693000,17065.53301,127.5,48,0,1,77
778800,11355.35889,97.5,54,35,0,88
1092300,8705.525806,81,61,21,0,80
1204500,5464.385194,198.975,9,11,1,83
1485000,17139.13051,171.75,55,50,0,73
2541000,4311.905561,286.5,6.460562889,34,0,82
1501500,483.6995011,165.75,18,26,0,76
1336500,12389.61291,179.25,107,6,1,83
1006170,13908.28063,195,46,13,0,81
561000,10102.6585,64.5,84,34,0,79
6765000,332.6550609,287.25,9.293443377,23,0,84
2574000,4674.278594,262.5,8.152596368,44,1,78
1089000,12159.72868,181.5,27,42,0,78
1221000,16573.47227,204,23,24,1,77
1541100,488.085298,187.5,36,40,0,78
1336500,2364.069512,125.25,35,12,0,83
2227500,4914.532823,217.5,7.775930765,24,1,81
1650000,3933.367975,123,61,18,0,83
2079000,2857.54323,221.25,7.061043035,30,0,81
1188000,11822.21009,162,23,35,1,81
1914000,19413.84492,246,29,14,1,76
1815000,333.9897143,147.75,86,32,0,85
2900700,19118.92703,252,7.468950476,27,1,80
874500,19992.76966,99,22,9,0,82
1473450,2562.203375,198.75,25,22,1,83
1333200,209.47226,152.25,52,0,0,80
882750,16644.21795,119.25,58,21,0,79
10164000,100,341.25,1.904556525,0,0,83
1105500,2515.367244,183,17,24,1,77
1900800,269.1946711,145.5,67,0,0,86
688488.9,4673.58725,153,9,0,1,79
1039500,18997.96885,165,51,19,1,85
2392500,201.5097758,144,1.076788798,0,0,85
1815000,8193.159084,135,50,54,0,80
2015475,438.2712515,163.5,3.843238617,26,0,82
1817310,8397.241611,75.75,107,47,0,77
2194500,255.1713985,249,7.64467899,0,0,81
2752200,332.6783433,177.75,8.681594594,27,0,83
663300,5032.090394,124.5,100,27,0,80
7854000,263.1368283,273.75,5.514849233,0,0,79
4554000,17652.63842,321.75,2.591437702,25,1,78
4620000,497.9311113,321.75,4.24266373,29,0,80
1006500,485.6093187,146.25,36,0,0,83
1607100,4578.346877,194.25,67,42,0,79
1287000,192.8057053,144.75,27,0,0,80
1808400,285.456227,110.25,99,0,0,76
886875,5816.784792,60,72,0,0,81
2705670,430.9145109,236.25,0.336706049,21,0,84
1716000,297.7797211,152.25,31,0,0,84
759000,12924.81043,108.75,12,43,1,82
792000,18201.62162,113.25,46,39,0,74
765600,19109.28979,93,93,46,0,81
793650,6763.374698,93,93,5,0,81
907417.5,4484.233737,227.25,28,22,0,79
2442000,144.7599658,153.75,5.757203395,0,0,81
615037.5,169.3066307,75,63,0,0,77
2607000,337.8609261,177.75,8.989896001,23,0,82
2904000,241.3319059,210,3.51695064,0,0,79
920700,12525.76656,168,60,0,1,75
973500,14688.50501,135.75,24,46,1,79
2112000,4563.275538,80.25,2.468697366,15,0,84
3102000,13902.05836,186.75,8.924614014,37,0,79
858000,19493.3787,147,12,30,0,82
1847670,2373.910327,219.75,11,12,1,83
2611950,1947.960912,113.25,9.880373417,35,0,80
874500,6440.12832,106.5,61,22,1,79
808500,16273.91873,130.5,61,26,1,78
1600500,388.040132,192,53,43,0,82
2257200,19668.98439,228,8.300934257,13,0,77
1402500,17643.0867,187.5,58,0,0,81
1021680,12093.7084,95.625,24,20,1,79
1822425,16294.24514,193.5,13,50,0,73
544500,7969.453796,75,72,0,0,76
791670,18787.34514,75,72,44,1,83
1056000,16720.06931,80.25,85,43,1,79
1277100,14999.30045,187.5,42,14,1,86
986700,1495.36169,42,48,10,1,84
2821500,396.2852835,170.25,8.271957943,42,0,82
1039500,18219.86685,142.5,61,0,0,81
1443750,6339.596462,74.25,108,29,1,79
831600,6531.917621,116.25,46,26,0,85
1237500,17152.7278,165,60,0,0,82
2970000,11477.02749,99.75,7.903710136,59,1,74
2243670,312.8422316,183,5.54649401,48,0,79
1527900,6063.658538,123,23,51,0,72
1254000,309.8128141,207,37,0,0,84
1996335,175.634383,158.25,2,0,0,79
2623500,495.7719257,228,8.051577376,17,0,79
1534500,3246.45486,138,21,48,0,82
2220900,17241.7664,224.25,8.495988105,21,0,82
2673000,1556.288213,264,8.827857061,25,0,82
2590500,121.7103875,183,5.955238743,0,0,78
1115400,1971.337464,156.75,29,10,0,76
924000,9442.015997,107.25,22,48,1,79
1039500,14539.84633,163.5,61,44,1,81
1749000,6012.151795,163.5,61,44,0,78
1254000,3224.698937,258.75,11,15,0,80
980100,4058.769633,108.75,21,0,1,76
2409000,6242.133267,242.25,2.586084853,18,0,80
1485000,17524.34134,123,75,0,0,80
907500,15918.45276,119.25,18,0,1,80
1963500,417.5359022,151.5,55,55,0,80
1435500,6086.974675,97.5,111,23,0,85
891000,16314.07136,103.5,61,11,0,82
1283700,1249.702511,159.75,14,17,0,77
1848000,17788.65986,191.25,47,11,1,80
4455000,361.7747223,360,4.527982778,55,0,83
2636700,1144.425997,188.25,3.397621328,28,0,80
1206150,10518.40232,105.75,32,47,0,74
832755,18708.93452,123.75,36,43,1,81
1333035,13136.32405,159,22,40,1,74
1270500,5790.843069,153,61,12,1,78
1138500,18221.6084,116.25,58,23,1,84
1617000,318.1631631,148.5,36,36,0,82
1089000,19706.69915,120,10,40,0,83
3059100,180.7545535,247.5,7.255252232,0,0,81
3696000,9676.811415,288,6.250513536,48,0,80
1089000,14410.44947,91.5,65,48,0,77
1749000,6291.606981,204,57,43,0,85
1204500,9536.723693,145.5,53,6,0,80
1249875,15508.3709,162,106,49,0,78
890670,5193.800935,114.75,47,6,1,83
1838100,190.6382567,128.25,7,0,0,83
1188000,13471.34317,279.75,41,43,1,86
1161600,13263.99565,70.5,78,24,0,78
1442100,5746.356175,131.25,21,15,0,79
1064250,19894.47059,136.5,21,0,0,79
2145000,14887.5972,113.25,9.427914741,27,0,79
1485000,19953.99623,96.75,14,32,0,79
919050,8965.309914,117.75,17,42,1,79
1204335,15935.87066,144.75,20,23,0,84
2772000,369.3457579,213,0.80571278,36,0,78
884400,15194.80402,116.25,24,14,1,79
1707862.2,340.5440432,62.475,9,59,0,82
2088652.5,219.896144,224.25,4.262421879,0,0,83
1905750,384.312335,150,20,18,0,78
1118700,9488.868,179.25,95,47,0,78
1881000,7104.634602,218.25,48,60,0,82
1859550,8280.267758,156.375,51,56,0,83
1395900,1746.252323,165,53,0,1,79
1171500,9161.68646,139.5,3,50,0,76
1590600,7403.152635,71.25,74,38,1,84
2062500,3394.777633,120,1.147720388,27,1,78
1775400,7077.243604,168.75,27,14,0,80
1254000,17724.3991,171,30,19,1,75
1237500,12163.07641,70.5,106,40,1,82
808500,3637.539252,114.75,19,16,0,85
1023000,11198.59709,164.25,68,0,0,75
4290000,445.2039167,176.25,4.325939387,20,0,78
1310100,9478.737641,108,44,29,0,78
1204500,6197.376234,165,10,10,1,78
1084050,3472.824048,171.75,25,15,0,74
3260400,476.3524449,303,3.479196597,46,0,82
3300000,371.6300926,195.75,8.59007248,20,0,75
782100,6015.834749,111.75,10,12,1,80
1732500,431.1467375,183.75,12,55,0,82
2471700,372.4625502,128.25,0.493028241,42,0,79
2384250,11605.85528,365.25,4.533726647,57,1,83
2781900,433.933131,234.75,8.501082943,48,0,80
1445400,1773.80229,95.25,15,0,0,78
1907400,494.5184861,159,38,37,0,82
752235,19808.74845,125.25,61,45,0,79
646800,4902.224573,155.25,41,26,0,85
2115300,16207.62535,106.5,8.743520193,24,1,80
1155000,12474.83485,93.75,35,38,0,83
676500,14413.05306,70.5,55,26,0,81
1320000,13677.6166,144,47,19,1,71
3399000,7370.473098,265.875,9.288013333,48,0,76
1666500,446.0206926,94.5,43,14,0,79
1567500,19959.74634,175.5,40,50,1,81
1716000,11553.8265,194.25,38,32,0,73
4785000,202.488569,297.75,9.610695918,0,0,83
1100550,145.1028205,91.5,50,0,0,78
765600,3330.934196,105,39,17,0,78
2280630,314.5490758,177,8.674283512,46,0,75
2676300,9189.037325,140.25,9.200560714,24,0,76
1818300,16125.04081,212.25,14,55,0,80
1638450,10402.6492,169.5,21,48,0,82
2326500,410.108286,147.75,8.605103085,54,0,74
1907400,127.2292243,235.5,49,0,0,77
841500,2144.501907,93,29,0,0,82
3465000,182.1005682,258.75,7.931620204,0,0,79
1148400,8210.640681,192.75,26,20,1,86
759000,18711.62312,113.25,30,23,0,84
1186350,2887.499269,179.25,27,0,1,82
1089000,2860.831635,73.5,62,7,0,80
264000,3452.390266,32.25,103,12,0,81
1534500,18102.41848,111,61,28,0,78
1072500,12047.29667,138.75,18,0,1,82
1123650,15699.05967,170.25,68,43,0,84
1130250,17178.60159,135.75,22,40,1,83
959970,1201.978665,120.75,85,7,1,78
2866710,7965.601832,288,9.182051397,39,1,75
3960000,14467.54974,308.25,8.522610676,57,1,80
3795000,335.8370769,314.25,5.605178063,32,0,81
2837670,483.0128821,254.25,9.505318324,16,0,84
1716000,169.1932823,141.75,12,0,0,76
1518000,191.1235986,120.75,10,0,0,81
1448449.2,3035.074525,78.75,66,26,1,81
1039500,11901.57544,47.25,97,30,1,84
1947000,344.2110738,218.25,40,38,0,80
1249050,4975.777433,127.5,60,7,1,79
1084050,13493.81176,146.25,25,50,0,77
2804835,16461.58431,224.25,3.760603156,31,1,78
1732500,9362.721165,101.25,65,18,1,79
4587000,237.2277448,364.5,1.954337989,0,0,87
973500,13921.14413,162,37,30,1,87
3531000,108.7726216,364.5,6.042760205,0,0,79
686235,17098.96757,66.75,98,9,0,77
2309670,245.1231668,210.75,8.336845159,0,0,74
4224000,19148.84107,255,4.337108242,48,1,82
1491600,320.5333749,118.5,52,51,0,77
1221000,19180.68097,126,28,0,1,87
765600,1130.061294,97.5,47,19,0,77
2210835,11153.67892,211.5,8.798034766,10,1,80
1311750,3144.369652,113.25,43,12,1,91
1617000,13729.15253,92.25,11,39,0,77
2392500,257.0816586,158.25,1.923135142,0,0,81
986700,14419.57614,231,57,32,0,77
2062500,488.1670408,111.75,8.758403929,41,0,81
1443750,5084.200916,159,15,20,0,77
2145000,12032.23544,238.5,4.517500359,55,0,80
1567500,403.9587992,111.75,86,16,0,79
1128600,14672.19053,144.75,49,0,1,76
3960000,385.3879365,207.75,9.367501789,14,0,80
924000,4253.844946,125.25,52,24,0,83
792000,9734.077577,99.75,22,0,0,85
1745700,2534.220121,90.75,91,39,1,76
1458600,1106.642189,89.25,74,8,1,79
2029500,172.6046105,115.5,2.456565555,0,0,83
4917000,396.1878767,302.25,4.679362858,13,0,77
1930500,15159.05082,182.25,34,53,0,72
1584000,13754.42062,195,10,41,0,77
3630000,6828.327513,330.75,6.731187047,11,0,77
957000,7274.355414,99.75,66,36,0,80
2029500,462.4876159,142.5,0.55667771,20,0,79
990000,16031.6422,82.5,65,0,0,81
1016400,7427.486211,148.5,83,0,1,79
2475000,9487.020744,180,1.621004622,53,1,81
7425000,314.0508463,357,7.448675106,41,0,79
2937000,339.8695516,238.5,9.002410716,15,0,84
950400,10990.95176,89.25,57,24,0,78
627000,9288.52498,47.25,72,49,1,81
1699500,12369.08868,189.75,10,46,1,77
775500,12425.95487,126.75,85,0,1,81
907500,14385.49449,70.5,64,16,1,80
2400750,349.6269474,93,7.306747187,58,0,75
2145000,6438.910033,228,1.877138377,58,1,80
5280000,6472.852683,453.75,9.557014597,42,1,84
1204500,15219.08457,119.25,71,32,1,82
2184600,394.9188652,187.5,5.458614307,35,0,80
892650,4930.205624,133.5,37,22,0,76
660000,8903.593118,102,37,34,0,84
3201000,2444.506313,355.5,2.07858332,11,1,80
528000,12553.01673,75.75,53,13,0,79
673200,6038.868321,78,44,19,1,85
1181400,10481.69772,120.75,30,35,0,78
1491600,6943.662408,117.75,36,47,0,81
1963500,7774.580327,113.25,115,16,1,84
821700,1140.796761,102,21,16,0,82
1144770,6201.707927,147.75,16,10,1,79
7029000,298.0470144,405.225,5.772322337,0,0,79
924000,19845.34443,117,12,44,0,81
1749000,119.219151,159,48,0,0,80
1237500,15605.31838,159,32,19,0,84
3003000,9193.617665,251.25,6.890300231,45,0,80
2580600,336.073347,178.5,5.199810902,40,0,78
857835,14366.31648,80.25,7,16,1,82
1039500,15277.47654,172.5,36,32,1,73
709500,3779.287069,99,72,26,0,81
2326500,421.3958516,163.5,3.62539676,18,0,81
4785000,325.3463119,328.5,6.423537768,57,0,79
1488300,17714.44485,134.25,66,18,0,77
861300,5351.088831,56.25,72,27,1,79
1306800,13270.21391,97.5,59,37,1,85
2392500,264.4170599,224.25,5.424278656,0,0,78
6435000,18748.64776,348,4.975056509,58,1,73
785400,17856.74871,105,56,23,0,82
2475000,383.6177622,206.25,1.870444557,60,0,78
1093950,12075.98148,153.75,17,8,0,78
1518000,197.4294548,167.25,37,0,0,76
1336335,10128.98967,175.5,33,32,0,80
2904000,11505.25127,215.25,4.661660793,45,0,82
2847900,403.7041613,309,1.075833535,16,0,78
2107710,4457.812021,156,8.479757614,49,0,78
1435500,401.2510229,138,7,0,0,83
858000,11412.45347,88.5,56,0,0,79
2215950,14511.32602,162,9.071473442,19,0,80
2013000,471.7819323,88.5,0.8058216,15,0,78
1336500,9251.181977,87,78,41,1,83
1118370,391.9908119,137.25,12,0,0,77
1458600,4680.862301,192,88,15,0,82
2145000,5079.670162,191.25,4.059326218,34,0,79
869550,2357.99577,99.75,34,0,1,83
877800,19725.01404,135.375,6,31,1,82
3069000,141.4064886,453.75,7.922440027,0,0,86
1749000,415.2179762,174,11,39,0,74
594000,12328.16638,103.8,50,16,1,77
2042700,12266.14111,204,7.318053786,31,0,76
871200,13002.16009,136.5,53,0,0,81
2409000,2560.001021,159.75,7.315713705,53,0,85
1448700,11036.3289,154.5,40,6,1,85
886050,15703.26489,106.5,34,46,0,81
1089000,18717.99534,113.25,30,19,0,83
2112000,499.3157039,162,9.083614042,29,0,80
2970000,414.1860822,238.5,7.928941764,18,0,81
1221000,19079.47529,158.25,30,7,1,81
2260500,9593.527583,154.5,9.068012268,40,1,78
1666500,129.0847322,137.25,34,0,0,79
874500,4328.747794,136.5,49,14,1,80
957000,14197.12058,120.75,9,8,0,84
976800,5696.446095,133.5,9,10,0,77
1188000,15319.67228,138,19,6,1,74
793650,8274.553837,109.5,18,41,0,82
1229250,3491.466874,105,8,0,1,78
1963500,10330.85424,252.75,11,35,0,79
1699500,354.3544111,269.25,18,13,0,83
4026000,274.0117962,240,0.195735737,0,0,78
1673100,9759.268858,125.25,11,50,0,79
1319835,306.796619,181.5,31,0,0,85
610500,16922.1829,107.25,21,21,1,82
1518000,431.6592576,108,35,56,0,82
1437150,8088.494175,108.75,30,46,1,80
1547700,1336.23892,266.25,49,32,0,77
1752300,427.1329657,95.25,15,55,0,76
1463550,5875.808111,70.5,66,18,1,79
735900,12629.29058,125.25,25,46,0,86
1947000,345.0336708,232.5,19,59,0,81
1122000,4215.98796,82.5,18,25,1,80
2145000,465.0464025,140.25,7.592875187,28,0,81
1760880,14601.44792,144.75,25,35,1,79
2293500,9930.011616,190.5,3.43339823,55,1,76
1402500,15480.83339,136.5,48,40,0,79
1732500,4797.976623,111.75,34,56,1,79
1600500,11281.35388,141,27,56,1,75
577500,11023.39523,93.75,44,46,1,79
693000,6917.466482,108,32,23,0,79
858000,266.9411113,144,26,0,0,79
1904100,359.7323257,154.5,39,14,0,75
660000,17751.92237,90.75,57,16,1,85
1996500,186.5947166,132,88,0,0,85
1072500,13285.00084,74.25,68,5,1,82
955350,15679.73516,72,71,46,0,77
1847835,322.0400807,124.5,1,30,0,82
3432000,16552.68806,142.5,6.934707703,50,0,79
1793550,329.1803163,95.25,45,33,0,79
1584000,191.1367374,243.75,32,0,0,84
719400,11800.3381,72,33,29,0,76
1864500,3711.021235,99.75,101,24,0,78
1408110,10859.12883,156,47,40,0,78
2145000,1429.211609,201.75,2.26521855,55,1,80
1788600,17998.67465,66.75,105,39,0,75
1369500,413.6646711,80.25,38,0,0,78
706200,14574.31473,90,62,17,0,82
808500,16525.11924,102,66,43,0,81
1037850,15551.45548,153.75,22,37,1,77
3696000,325.5496151,225,6.196475115,43,0,82
1247400,1316.443149,97.5,52,16,0,73
1006500,6905.919517,168.75,33,24,0,79
1963500,5726.952347,280.5,37,56,1,82
1419000,18862.62827,177,12,8,0,80
792000,16969.69386,132,28,35,0,75
1749000,13330.33733,99,97,55,0,74
518100,17065.68953,65.25,76,49,1,79
726000,4018.585451,75,71,24,0,80
