donorId,age,income,pastDonations,numberOfKids,married,zipCode,month,donation
114,32,3,no,2,1,35365,1,0
115,76,1,no,1,1,31709,1,9
116,60,1,no,1,0,35755,1,0
117,33,2,no,3,1,36219,1,0
118,43,3,no,0,1,31800,1,0
119,30,2,no,1,0,30995,1,0
120,69,2,no,4,1,31460,1,0
121,51,3,no,2,1,35228,1,0
122,59,2,no,3,0,39706,1,0
123,31,2,no,2,1,35687,1,0
124,26,3,no,2,0,32919,1,0
125,46,2,no,2,1,39146,1,0
126,36,2,no,0,0,39124,1,0
127,67,3,no,0,1,31787,1,0
128,71,2,no,1,0,34258,1,0
129,25,2,no,1,0,30664,1,0
130,48,2,no,2,0,36169,1,0
131,74,1,no,3,1,39076,1,0
132,35,1,no,0,1,37039,1,0
133,33,1,no,0,0,36578,1,0
134,48,3,no,4,1,31743,1,0
135,28,3,no,3,1,34568,1,0
136,36,3,no,1,1,35595,1,0
137,41,2,no,0,0,33348,1,0
138,40,1,no,1,0,33697,1,0
139,50,2,no,3,1,38233,1,0
140,76,3,yes,0,0,39273,1,4
141,63,2,no,4,0,31814,1,0
142,72,3,no,0,0,37200,1,0
143,30,1,no,0,1,36478,1,0
144,31,2,no,2,1,37709,1,0
145,45,1,no,1,0,37715,1,0
146,33,1,no,0,1,39931,1,0
147,26,3,no,1,0,34132,1,0
148,58,1,no,2,1,39310,1,0
149,28,2,no,1,1,35612,1,0
150,60,3,no,0,0,37156,1,0
151,32,2,no,1,0,33297,1,0
152,35,1,no,0,1,30680,1,0
153,52,2,no,0,1,31379,1,0
154,48,3,no,0,0,30483,1,0
155,69,3,no,0,1,39177,1,0
156,36,1,no,0,1,30320,1,0
157,74,1,no,1,0,30560,1,0
158,31,3,no,3,0,34394,1,0
159,32,2,no,0,0,39469,1,0
160,67,2,no,3,1,36283,1,0
161,58,3,no,3,0,39436,1,0
162,74,1,no,1,0,35378,1,12
163,43,1,no,2,1,32272,1,0
164,37,3,no,0,1,35164,1,0
165,46,1,no,0,1,35553,1,0
166,76,1,yes,1,1,31476,1,4
167,69,2,no,3,0,30114,1,0
168,75,3,no,0,1,30772,1,11
169,46,2,yes,4,0,31306,1,0
170,41,3,no,3,0,34648,1,0
171,69,1,no,0,1,33919,1,0
172,40,2,no,4,1,30118,1,0
173,75,2,no,2,0,30918,1,26
174,49,1,no,2,0,37810,1,0
175,49,1,no,1,1,33097,1,0
176,40,2,no,3,0,36097,1,0
177,25,2,yes,0,0,39083,1,0
178,59,3,no,1,1,34888,1,0
179,57,1,no,0,0,39691,1,0
180,31,1,no,3,0,39767,1,0
181,73,2,no,1,0,35384,1,0
182,33,3,no,1,0,39602,1,0
183,70,3,no,2,0,31768,1,0
184,33,2,no,2,1,39872,1,0
185,53,2,no,2,1,35254,1,0
186,60,2,no,0,1,35506,1,0
187,55,2,no,0,0,35673,1,0
188,75,2,no,4,0,33713,1,26
189,30,3,no,0,0,34168,1,0
190,53,2,no,3,1,36599,1,0
191,48,2,no,0,1,39991,1,0
192,29,2,no,3,0,30402,1,0
193,30,2,no,3,0,30816,1,0
194,41,1,no,0,1,34921,1,0
195,69,2,no,2,0,38268,1,0
196,27,3,no,0,1,34279,1,0
197,77,3,no,1,0,37290,1,8
198,66,1,no,0,0,36997,1,0
199,28,3,no,1,0,37833,1,0
200,30,1,no,0,1,38172,1,0
201,54,3,no,0,1,39126,1,0
202,47,2,no,2,0,36803,1,0
203,67,2,no,1,1,32245,1,0
204,50,1,no,1,1,37885,1,0
205,61,3,no,2,0,31190,1,0
206,37,2,no,1,0,32618,1,0
207,77,1,no,0,0,35463,1,9
208,32,2,no,3,1,38081,1,0
209,80,2,no,1,0,36211,1,21
210,45,3,no,0,1,39937,1,0
211,79,1,no,2,0,30730,1,7
212,35,2,no,0,1,38385,1,0
213,28,2,no,2,0,32005,1,0
214,39,3,no,2,1,39205,1,0
215,45,2,no,2,0,36937,1,0
216,45,1,no,0,1,35184,1,0
217,74,1,no,1,1,39737,1,0
218,70,2,no,2,0,39741,1,0
219,67,2,no,3,0,37845,1,0
220,44,2,no,0,0,34586,1,0
221,61,1,no,1,1,35461,1,0
222,34,2,no,1,1,30009,1,0
223,71,2,no,0,0,36680,1,0
224,74,2,no,2,1,30418,1,27
225,64,3,no,1,1,32651,1,0
226,51,3,no,1,1,35040,1,0
227,62,2,no,4,1,32662,1,0
228,44,2,no,1,1,30315,1,0
229,44,3,no,1,0,35092,1,0
230,67,1,no,3,0,33884,1,0
231,61,2,no,1,0,30482,1,0
232,68,2,no,0,1,39567,1,0
233,46,2,yes,4,0,35211,1,0
234,77,2,no,1,1,33612,1,23
235,79,2,no,1,0,37477,1,22
236,60,1,no,0,1,38722,1,0
237,43,2,no,0,0,30137,1,0
238,39,2,no,4,1,34217,1,0
239,48,3,no,0,0,31590,1,0
240,28,3,no,1,1,34816,1,0
241,78,2,no,1,0,35634,1,22
242,76,3,no,1,1,35527,1,9
243,52,1,no,1,1,38070,1,0
244,44,2,no,0,1,36030,1,0
245,31,3,no,0,0,35910,1,0
246,31,2,no,2,0,36244,1,0
247,28,3,no,1,0,35260,1,0
248,60,2,no,2,1,34629,1,0
249,69,1,no,0,1,37289,1,0
250,68,1,no,0,0,36061,1,0
251,35,3,no,2,0,30255,1,0
252,58,2,no,0,0,32788,1,0
253,48,1,no,2,1,37816,1,0
254,32,3,no,1,1,35564,1,0
255,31,1,no,3,1,38163,1,0
256,39,1,no,2,0,33621,1,0
257,42,2,no,1,0,35326,1,0
258,66,3,no,0,1,39199,1,0
259,25,1,yes,3,1,37323,1,0
260,34,3,no,1,1,31895,1,0
261,32,2,no,0,1,30704,1,0
262,81,3,yes,3,0,30315,1,0
263,81,1,no,0,0,37455,1,5
264,48,2,no,2,0,34260,1,0
265,35,2,no,1,1,37897,1,0
266,39,3,no,2,0,37170,1,0
267,40,3,no,3,1,32380,1,0
268,38,2,no,0,0,38752,1,0
269,80,2,no,2,1,36743,1,21
270,78,2,no,3,1,35411,1,22
271,62,2,no,2,1,38034,1,0
272,29,2,no,1,0,31407,1,0
273,69,1,no,0,1,39267,1,0
274,29,3,no,2,0,39750,1,0
275,45,2,no,0,1,31133,1,0
276,47,3,no,1,0,38899,1,0
277,51,2,no,2,0,34985,1,0
278,27,1,no,0,1,34462,1,0
279,26,2,no,1,0,34845,1,0
280,59,2,no,1,0,32499,1,0
281,37,1,no,0,0,36514,1,0
282,69,1,no,1,0,36661,1,0
283,79,2,yes,1,0,31992,1,17
284,30,1,no,0,1,38142,1,0
285,57,2,no,1,1,33209,1,0
286,41,3,no,0,1,37544,1,0
287,75,3,no,0,1,34708,1,10
288,40,2,no,0,0,32742,1,0
289,44,2,no,1,1,38323,1,0
290,59,2,no,0,0,35715,1,0
291,58,2,no,1,0,37825,1,0
292,80,3,no,0,1,37702,1,6
293,66,2,no,1,1,35147,1,0
294,76,2,no,3,1,34985,1,25
295,70,1,no,0,0,33604,1,0
296,45,2,no,0,1,39098,1,0
297,67,3,no,3,0,33897,1,0
298,63,3,no,1,0,39349,1,0
299,49,3,no,1,1,34093,1,0
300,53,3,no,1,1,33940,1,0
301,26,2,no,1,0,35939,1,0
302,65,3,no,2,0,32391,1,0
303,59,1,no,4,0,32152,1,0
304,44,2,no,4,0,35766,1,0
305,30,2,no,3,1,36184,1,0
306,39,3,no,1,1,30706,1,0
307,52,2,no,0,1,38826,1,0
308,31,3,no,3,0,34818,1,0
309,38,2,no,3,1,37631,1,0
310,74,1,no,1,0,31145,1,0
311,37,3,no,3,0,31626,1,0
312,53,1,yes,1,0,32612,1,0
313,35,2,no,0,0,38266,1,0
314,26,3,no,0,0,32281,1,0
315,65,1,no,0,1,33091,1,0
316,59,2,no,2,0,30007,1,0
317,37,3,no,1,1,33965,1,0
318,49,3,no,1,0,35048,1,0
319,66,2,no,1,1,36661,1,0
320,79,1,no,2,1,36931,1,7
321,28,3,no,1,0,36380,1,0
322,28,1,no,0,0,35587,1,0
323,26,1,no,1,1,30453,1,0
324,36,3,no,0,1,35527,1,0
325,71,2,no,3,0,30615,1,0
326,38,2,no,1,1,33291,1,0
327,48,3,no,1,0,30525,1,0
328,45,3,no,1,1,37994,1,0
329,55,3,no,2,1,30454,1,0
330,48,2,no,1,1,39406,1,0
331,57,1,no,0,1,38431,1,0
332,71,2,yes,2,1,33568,1,0
333,50,2,no,0,1,35262,1,0
334,37,2,no,1,0,34739,1,0
335,79,3,no,1,1,33379,1,7
336,73,2,no,2,0,30775,1,0
337,43,1,no,2,0,37736,1,0
338,32,3,no,0,0,37577,1,0
339,51,1,no,0,0,31981,1,0
340,48,2,no,1,0,36552,1,0
341,46,3,no,3,1,33904,1,0
342,55,1,no,3,1,30295,1,0
343,69,3,no,2,0,32157,1,0
344,66,1,no,0,0,33216,1,0
345,62,2,no,0,0,39443,1,0
346,30,2,no,2,0,39023,1,0
347,26,1,no,2,1,34251,1,0
348,27,1,yes,1,1,36779,1,0
349,68,3,no,0,1,33353,1,0
350,38,1,no,0,1,38167,1,0
351,72,2,no,2,1,32536,1,0
352,81,3,no,3,0,33901,1,5
353,31,2,no,2,0,30004,1,0
354,39,1,no,0,1,33683,1,0
355,76,1,no,3,0,34276,1,9
356,71,1,no,4,0,34200,1,0
357,31,1,no,1,0,34996,1,0
358,81,2,no,2,1,38454,1,20
359,44,2,no,1,1,37524,1,0
360,70,3,no,2,0,33284,1,0
361,49,2,yes,0,1,38330,1,0
362,36,3,no,3,0,37177,1,0
363,28,2,no,0,0,37126,1,0
364,42,3,no,3,0,31406,1,0
365,38,2,no,0,1,31247,1,0
366,57,3,no,1,0,35820,1,0
367,39,1,no,0,1,37539,1,0
368,29,2,no,1,1,30247,1,0
369,72,3,no,0,0,35024,1,0
370,61,2,no,3,1,38389,1,0
371,50,1,no,0,0,39345,1,0
372,35,2,no,2,0,30576,1,0
373,42,3,yes,2,1,34147,1,0
374,51,3,no,1,1,36827,1,0
375,69,3,no,4,1,33808,1,0
376,41,2,no,2,0,36416,1,0
377,26,2,no,0,1,35850,1,0
378,29,3,yes,1,0,32217,1,0
379,50,2,no,2,1,39749,1,0
380,61,2,no,3,1,38348,1,0
381,75,2,no,3,1,38652,1,26
382,58,1,no,1,1,33201,1,0
383,27,3,no,3,1,38895,1,0
384,42,2,no,4,1,38453,1,0
385,28,2,no,1,1,31919,1,0
386,43,2,no,0,1,36097,1,0
387,28,3,no,1,1,38281,1,0
388,70,2,no,0,0,31598,1,0
389,44,2,no,4,0,32186,1,0
390,26,1,no,1,0,38851,1,0
391,27,3,no,0,1,39979,1,0
392,36,3,no,4,1,31675,1,0
393,74,3,no,1,0,31030,1,12
394,53,2,no,0,0,37929,1,0
395,81,2,no,1,0,36516,1,20
396,37,2,no,3,0,30267,1,0
397,59,1,no,3,0,37900,1,0
398,81,3,no,0,1,31599,1,5
399,30,2,no,1,0,38111,1,0
400,62,1,no,2,1,31204,1,0
401,33,2,no,4,1,31716,1,0
402,47,3,no,0,0,37885,1,0
403,46,1,no,4,1,30275,1,0
404,40,1,no,3,0,35817,1,0
405,56,2,no,0,0,30976,1,0
406,40,2,no,0,1,37353,1,0
407,46,2,no,0,0,35951,1,0
408,64,1,no,1,0,34759,1,0
409,34,2,no,1,0,38874,1,0
410,52,2,no,2,1,32566,1,0
411,25,2,no,0,1,37879,1,0
412,71,2,no,1,0,34388,1,0
413,43,2,no,0,0,31892,1,0
414,67,2,no,3,1,35758,1,0
415,40,2,yes,0,1,39105,1,0
416,66,3,no,3,0,33114,1,0
417,79,3,no,1,0,30844,1,6
418,64,2,no,0,1,32890,1,0
419,74,2,no,1,0,30700,1,0
420,38,2,no,0,1,35766,1,0
421,32,1,no,0,1,30999,1,0
422,53,2,no,0,0,39534,1,0
423,78,3,no,3,1,36512,1,7
424,45,2,no,0,0,35559,1,0
425,34,2,no,1,0,33835,1,0
426,39,2,no,0,0,32239,1,0
427,34,3,no,0,1,31806,1,0
428,71,1,yes,4,1,39279,1,0
429,29,1,no,0,1,31370,1,0
430,33,1,no,4,0,31745,1,0
431,79,2,no,4,0,37260,1,21
432,65,2,no,0,1,31547,1,0
433,37,1,no,0,0,33671,1,0
434,73,3,no,0,1,35665,1,0
435,67,3,no,3,1,37052,1,0
436,44,2,no,0,0,39280,1,0
437,44,2,no,1,0,39447,1,0
438,44,3,no,1,0,36115,1,0
439,69,1,no,3,1,34780,1,0
440,26,3,no,1,0,39887,1,0
441,30,1,no,0,1,38532,1,0
442,55,2,no,0,0,39814,1,0
443,49,3,no,0,1,39933,1,0
444,72,2,no,0,0,33002,1,0
445,60,3,no,0,0,37977,1,0
446,37,2,no,0,0,33099,1,0
447,26,2,no,0,1,38414,1,0
448,61,3,no,0,0,34312,1,0
449,63,2,yes,1,0,38927,1,0
450,30,2,no,1,1,31463,1,0
451,60,2,no,0,0,36259,1,0
452,60,1,no,1,0,30331,1,0
453,27,2,no,1,0,36737,1,0
454,63,3,no,2,1,30143,1,0
455,57,2,no,3,1,34963,1,0
456,46,1,no,4,1,37705,1,0
457,30,3,no,0,1,30425,1,0
458,71,1,no,2,1,30914,1,0
459,32,3,no,0,1,33198,1,0
460,39,1,no,0,0,32696,1,0
461,34,2,no,1,1,33651,1,0
462,73,2,yes,0,0,33125,1,23
463,27,2,no,0,0,33750,1,0
464,25,2,no,1,0,38337,1,0
465,69,2,no,0,1,31660,1,0
466,41,2,no,1,0,30360,1,0
467,56,3,no,2,0,37576,1,0
468,41,3,no,2,0,39515,1,0
469,26,3,no,3,1,36300,1,0
470,71,3,no,0,1,31065,1,0
471,72,1,no,0,1,35854,1,0
472,75,3,no,2,1,35202,1,11
473,28,3,no,0,1,32233,1,0
474,58,2,no,0,0,33970,1,0
475,76,1,no,0,0,34680,1,9
476,34,2,no,1,0,35758,1,0
477,34,2,no,0,0,36512,1,0
478,67,2,no,4,1,35845,1,0
479,29,2,no,3,1,36558,1,0
480,68,1,no,2,0,34578,1,0
481,66,2,no,0,0,36918,1,0
482,46,1,no,1,0,39860,1,0
483,76,1,no,2,0,34637,1,9
484,67,2,no,1,1,31711,1,0
485,65,2,no,3,1,34457,1,0
486,52,3,yes,0,1,35669,1,0
487,53,2,no,2,0,35220,1,0
488,55,1,no,1,1,35273,1,0
489,67,3,no,4,0,36154,1,0
490,43,2,no,0,1,31517,1,0
491,58,3,no,4,1,39979,1,0
492,55,1,no,2,0,39484,1,0
493,51,2,no,4,0,37596,1,0
494,56,2,no,0,1,35662,1,0
495,35,3,no,1,0,36148,1,0
496,61,3,no,3,0,32422,1,0
497,43,1,no,0,0,35154,1,0
498,67,2,no,2,1,39105,1,0
499,38,2,no,4,0,39733,1,0
500,71,1,no,0,0,36270,1,0
501,73,3,no,2,1,31597,1,0
502,78,3,no,3,0,31073,1,8
503,30,1,no,1,0,38221,1,0
504,43,1,no,1,0,39754,1,0
505,29,2,no,0,0,34148,1,0
506,56,1,no,1,1,35979,1,0
507,31,2,no,1,0,30497,1,0
508,33,2,no,2,1,36836,1,0
509,35,2,no,3,1,37804,1,0
510,31,2,no,0,0,35332,1,0
511,33,1,no,1,0,36752,1,0
512,75,2,no,2,0,31034,1,26
513,40,3,no,3,1,39913,1,0
514,68,2,no,0,0,38361,1,0
515,49,2,no,3,0,36443,1,0
516,74,2,no,2,1,30272,1,27
517,55,2,no,0,1,30313,1,0
518,48,2,no,1,1,35534,1,0
519,32,2,no,0,1,39016,1,0
520,51,3,no,4,1,38127,1,0
521,32,2,no,0,0,33847,1,0
522,80,1,no,0,0,33824,1,6
523,51,2,no,0,0,39649,1,0
524,60,2,no,1,1,31007,1,0
525,72,3,no,3,1,34827,1,0
526,68,1,no,0,1,31318,1,0
527,58,2,no,0,1,33609,1,0
528,50,2,no,1,0,38392,1,0
529,53,3,no,4,1,39401,1,0
530,55,1,no,0,0,33718,1,0
531,58,2,no,3,0,37095,1,0
532,64,1,no,0,1,35866,1,0
533,55,3,no,0,1,34983,1,0
534,27,1,no,1,0,36822,1,0
535,31,2,yes,2,1,37401,1,0
536,63,2,no,0,0,33787,1,0
537,74,2,no,4,0,35939,1,27
538,70,3,no,1,1,34781,1,0
539,61,1,no,0,1,39099,1,0
540,32,3,no,0,0,36782,1,0
541,44,2,no,2,0,39617,1,0
542,28,2,no,0,0,32817,1,0
543,36,2,no,0,0,32793,1,0
544,57,2,no,4,0,36405,1,0
545,63,2,no,0,0,36015,1,0
546,50,2,no,2,0,38838,1,0
547,47,2,no,1,1,33878,1,0
548,32,3,no,0,0,30178,1,0
549,31,3,no,0,1,33265,1,0
550,47,3,no,1,0,37541,1,0
551,37,2,no,4,0,37176,1,0
552,34,1,no,2,0,34237,1,0
553,52,2,no,4,1,34283,1,0
554,67,1,no,0,1,38156,1,0
555,42,3,yes,0,1,33023,1,0
556,62,2,no,1,0,35241,1,0
557,79,3,no,0,0,32526,1,7
558,55,1,no,0,1,34914,1,0
559,40,2,no,0,1,34305,1,0
560,44,2,no,1,0,35972,1,0
561,50,2,no,1,0,36879,1,0
562,38,2,no,1,1,35446,1,0
563,70,2,no,0,0,37809,1,0
564,61,3,no,0,0,30435,1,0
565,52,2,yes,1,1,35186,1,0
566,75,1,no,0,1,33581,1,11
567,36,2,no,3,1,32620,1,0
568,44,2,no,0,1,34403,1,0
569,45,1,no,0,1,37747,1,0
570,76,2,no,0,1,30080,1,25
571,50,2,no,1,1,36044,1,0
572,51,2,no,0,1,32384,1,0
573,40,2,no,1,1,31739,1,0
574,65,3,no,3,0,39637,1,0
575,55,2,no,0,0,39731,1,0
576,81,2,no,0,1,37135,1,20
577,74,1,no,1,1,31002,1,0
578,67,1,no,1,1,36364,1,0
579,32,1,no,1,0,37639,1,0
580,70,3,no,3,0,33060,1,0
581,79,2,no,0,0,30087,1,21
582,48,3,no,0,0,37129,1,0
583,59,2,no,0,0,34317,1,0
584,27,2,no,2,0,30359,1,0
585,37,2,no,0,0,35606,1,0
586,62,2,no,1,0,30370,1,0
587,37,1,no,3,0,36892,1,0
588,39,2,yes,1,1,35109,1,0
589,57,3,yes,0,1,34472,1,0
590,34,2,no,0,0,33063,1,0
591,59,3,no,0,1,39583,1,0
592,38,1,no,1,0,34175,1,0
593,80,2,no,0,1,38661,1,21
594,73,3,no,0,1,32346,1,0
595,38,3,no,3,1,31778,1,0
596,38,2,no,0,0,35397,1,0
597,31,3,no,0,0,35941,1,0
598,44,2,no,0,0,36623,1,0
599,54,3,no,0,0,39857,1,0
600,81,2,no,0,0,38405,1,20
601,27,2,no,0,1,32373,1,0
602,67,3,no,0,0,39976,1,0
603,71,2,no,3,0,31824,1,0
604,62,1,no,1,1,31831,1,0
605,66,3,no,0,1,32005,1,0
606,42,1,no,0,1,30339,1,0
607,73,2,no,0,0,32243,1,0
608,51,2,no,0,1,32516,1,0
609,70,2,no,4,0,30202,1,0
610,34,2,no,1,0,36176,1,0
611,41,2,no,0,0,33983,1,0
612,68,2,no,2,0,34372,1,0
613,36,2,no,0,1,30919,1,0
614,62,1,no,2,1,38141,1,0
615,63,2,no,0,1,33377,1,0
616,26,2,yes,0,0,33968,1,0
617,56,2,no,2,0,32145,1,0
618,32,2,no,0,0,39332,1,0
619,31,3,no,4,0,35819,1,0
620,30,3,no,0,0,31035,1,0
621,30,3,no,3,1,30023,1,0
622,67,3,no,0,0,32165,1,0
623,56,2,no,0,0,39666,1,0
624,75,1,no,2,1,35184,1,0
625,40,2,no,2,0,31635,1,0
626,65,1,no,0,0,32253,1,0
627,32,2,no,0,0,32892,1,0
628,80,2,no,0,1,31029,1,21
629,51,2,yes,2,0,34577,1,0
630,60,1,no,4,0,33523,1,0
631,69,1,no,1,0,34731,1,0
632,50,2,no,4,0,32504,1,0
633,69,2,no,1,1,38871,1,0
634,37,3,no,3,1,33515,1,0
635,49,1,no,0,0,32292,1,0
636,42,2,no,0,0,34261,1,0
637,58,2,no,0,0,37214,1,0
638,28,2,no,0,0,31684,1,0
639,44,1,no,2,0,39391,1,0
640,36,2,no,2,1,33377,1,0
641,29,3,no,1,1,35127,1,0
642,78,1,no,2,0,36020,1,7
643,79,2,no,1,0,37723,1,22
644,38,3,no,0,1,30801,1,0
645,50,2,no,3,0,30519,1,0
646,50,2,no,0,1,35688,1,0
647,31,1,no,1,0,38010,1,0
648,43,2,no,2,0,35690,1,0
649,46,3,no,0,1,33910,1,0
650,43,3,no,3,1,35736,1,0
651,27,2,no,0,1,30837,1,0
652,74,2,no,0,1,35752,1,0
653,71,2,no,0,1,31504,1,0
654,79,1,no,3,1,37827,1,7
655,32,2,no,0,0,38153,1,0
656,81,1,no,0,1,38234,1,5
657,65,3,no,1,1,30029,1,0
658,27,2,no,0,0,31677,1,0
659,26,3,yes,2,0,36175,1,0
660,72,1,no,2,1,36519,1,0
661,31,3,no,0,0,30917,1,0
662,55,3,no,3,1,30787,1,0
663,76,1,no,0,1,37122,1,9
664,64,1,no,0,0,33704,1,0
665,57,2,no,1,0,36212,1,0
666,30,1,no,3,1,34692,1,0
667,54,2,no,1,0,34492,1,0
668,57,2,no,1,1,34019,1,0
669,68,1,no,1,1,39064,1,0
670,33,2,no,2,0,35243,1,0
671,67,3,no,0,0,32944,1,0
672,75,2,no,0,0,37091,1,26
673,65,1,yes,3,0,30790,1,0
674,48,3,no,1,0,39047,1,0
675,73,2,no,1,0,34176,1,0
676,26,2,no,1,0,33188,1,0
677,66,2,no,1,0,34095,1,0
678,29,2,no,1,1,36330,1,0
679,52,1,no,1,0,30605,1,0
680,35,2,no,1,0,37607,1,0
681,40,3,no,3,0,33423,1,0
682,34,1,no,1,0,39767,1,0
683,42,2,no,2,1,33480,1,0
684,56,1,yes,0,0,34539,1,0
685,46,1,no,1,0,33197,1,0
686,51,2,no,0,1,34202,1,0
687,78,1,no,1,0,38367,1,7
688,57,2,no,0,0,31228,1,0
689,60,2,no,0,0,37857,1,0
690,51,1,no,1,0,33280,1,0
691,52,3,no,3,1,36981,1,0
692,78,2,no,2,0,38819,1,23
693,53,2,no,2,0,31208,1,0
694,25,3,no,0,1,35751,1,0
695,25,2,no,1,0,32573,1,0
696,77,2,no,1,1,30561,1,23
697,71,1,no,0,0,39432,1,0
698,55,2,no,0,0,37201,1,0
699,78,3,no,3,0,31056,1,7
700,49,1,no,2,0,32526,1,0
701,40,1,no,3,1,34316,1,0
702,45,1,no,1,1,30732,1,0
703,75,2,no,2,1,36975,1,26
704,74,2,no,2,0,34528,1,0
705,45,2,no,2,0,35602,1,0
706,44,2,yes,3,1,33416,1,0
707,74,3,no,0,0,36777,1,0
708,63,2,no,1,0,38188,1,0
709,42,2,no,0,1,36574,1,0
710,53,2,no,0,0,36181,1,0
711,81,1,no,2,1,39226,1,5
712,73,2,yes,1,1,33230,1,23
713,38,3,no,3,1,37883,1,0
714,67,2,no,0,1,33051,1,0
715,34,3,no,3,0,38126,1,0
716,45,1,no,3,1,33410,1,0
717,73,2,no,1,0,37203,1,0
718,36,2,no,0,1,31134,1,0
719,59,1,no,3,1,39477,1,0
720,71,3,no,3,0,38280,1,0
721,49,2,no,1,1,30647,1,0
722,30,3,no,1,0,35099,1,0
723,32,1,no,0,1,39857,1,0
724,32,2,yes,2,1,34559,1,0
725,26,2,no,3,1,39589,1,0
726,42,2,no,0,1,36386,1,0
727,32,3,no,4,0,34377,1,0
728,29,3,yes,2,1,39349,1,0
729,69,3,no,1,0,37740,1,0
730,69,1,no,2,0,32300,1,0
731,44,2,no,0,1,37324,1,0
